x坐标, y坐标
347.5,0.00039
348,8.00E-05
348.5,0.00038
349,0.00041
349.5,0.00051
350,0.00041
350.5,0.00039
351,0.00049
351.5,0.00018
352,0.00026
352.5,0.00014
353,0.00018
353.5,0.0004
354,0.00035
354.5,0.00023
355,0.00014
355.5,0.00041
356,6.00E-05
356.5,0.00028
357,0.0003
357.5,0.00045
358,0.00043
358.5,0.00079
359,0.00058
359.5,0.00056
360,0.00067
360.5,0.00087
361,0.00137
361.5,0.00179
362,0.00162
362.5,0.00156
363,0.00099
363.5,0.00078
364,0.00096
364.5,0.00084
365,0.00084
365.5,0.00084
366,0.00027
366.5,0.00025
367,0.00043
367.5,0.00061
368,0.00083
368.5,0.00085
369,0.00105
369.5,0.00083
370,0.00091
370.5,0.00137
371,0.00159
371.5,0.00161
372,0.00181
372.5,0.00156
373,0.0014
373.5,0.00118
374,0.00089
374.5,0.00064
375,0
375.5,0.00022
376,0.00051
376.5,0.00026
377,0.00044
377.5,0.00014
378,0.0001
378.5,-5.00E-05
379,-0.00021
379.5,-0.00034
380,-0.00043
380.5,-0.00061
381,-0.0003
381.5,-0.00014
382,0.00037
382.5,0.00036
383,0.00045
383.5,0.00016
384,6.00E-05
384.5,9.00E-05
385,0.00021
385.5,-0.00019
386,0
386.5,-7.00E-05
387,6.00E-05
387.5,-0.00012
388,0.0004
388.5,0.00051
389,0.00043
389.5,0.00041
390,3.00E-05
390.5,-2.00E-05
391,0.00013
391.5,-0.00011
392,-1.00E-05
392.5,-0.00036
393,-0.00021
393.5,-0.00013
394,-0.00012
394.5,5.00E-05
395,-0.00015
395.5,-0.00026
396,-0.0007
396.5,-0.00078
397,-0.00088
397.5,-0.00107
398,-0.00102
398.5,-0.00073
399,-0.0008
399.5,-0.00046
400,-8.00E-05
400.5,0.00023
401,0.00019
401.5,0.00027
402,0
402.5,0.00046
403,0.0009
403.5,0.00101
404,0.00088
404.5,0.00047
405,0.00024
405.5,-0.00014
406,-0.00034
406.5,-0.00053
407,-0.00059
407.5,-0.00077
408,-0.00111
408.5,-0.00181
409,-0.00231
409.5,-0.00253
410,-0.00254
410.5,-0.00227
411,-0.00165
411.5,-0.00167
412,-0.00139
412.5,-0.00124
413,-0.00133
413.5,-0.00115
414,-0.00146
414.5,-0.00114
415,-0.00106
415.5,-0.00093
416,-0.00059
416.5,-0.00035
417,9.00E-05
417.5,-8.00E-05
418,-0.00015
418.5,9.00E-05
419,-0.00012
419.5,-0.00045
420,-0.00016
420.5,-0.00017
421,-9.00E-05
421.5,-0.0001
