姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Doc Rivers,16--17,LAC,7,0.473,36.4,77.0,0.348,8.1,23.4,0.696,16.7,24.0,37.7,7.7,30.0,18.4,6.3,2.4,11.7,20.3,97.7,3,4,0.429
Doc Rivers,15--16,LAC,6,0.4370000000000001,37.2,85.0,0.29100000000000004,5.7,19.5,0.625,18.3,29.3,46.2,11.3,34.8,18.2,8.5,4.7,9.2,20.5,98.3,2,4,0.33299999999999996
Doc Rivers,14--15,LAC,14,0.466,39.5,84.8,0.329,8.4,25.4,0.667,20.4,30.6,44.6,9.6,35.0,22.5,8.6,5.9,12.4,24.8,107.8,7,7,0.5
Doc Rivers,13--14,LAC,13,0.461,39.4,85.4,0.355,9.2,25.8,0.73,20.8,28.5,39.8,11.5,28.3,23.8,9.4,4.4,12.5,24.3,108.8,6,7,0.462
Doc Rivers,12--13,BOS,6,0.413,28.5,69.0,0.331,6.8,20.7,0.86,18.5,21.5,39.0,5.2,33.8,16.8,5.5,3.0,16.3,18.8,82.3,2,4,0.33299999999999996
Doc Rivers,11--12,BOS,20,0.438,33.8,77.2,0.285,4.7,16.3,0.799,17.3,21.6,39.9,8.0,31.9,19.8,8.2,4.9,12.3,21.7,89.5,11,9,0.55
Doc Rivers,10--11,BOS,9,0.465,35.8,76.9,0.465,7.4,16.0,0.779,15.7,20.1,39.0,8.9,30.1,21.0,7.3,4.2,14.4,21.9,94.7,5,4,0.556
Doc Rivers,09--10,BOS,24,0.453,34.3,75.7,0.363,5.8,16.0,0.755,19.5,25.8,39.1,8.8,30.3,21.1,8.0,4.6,13.2,24.6,93.9,15,9,0.625
Doc Rivers,08--09,BOS,14,0.445,37.4,84.1,0.36,6.7,18.6,0.7909999999999999,20.6,26.0,43.2,10.9,32.4,22.9,7.8,4.9,12.6,24.3,102.1,7,7,0.5
Doc Rivers,07--08,BOS,26,0.447,33.6,75.1,0.359,6.0,16.8,0.7829999999999999,20.8,26.6,40.0,11.1,28.9,21.5,7.6,4.3,12.2,24.3,94.0,16,10,0.615
Doc Rivers,04--05,BOS,7,0.442,32.9,74.3,0.327,4.9,14.9,0.755,17.1,22.7,39.4,10.3,29.1,16.6,8.4,6.4,14.6,25.4,87.7,3,4,0.429
Doc Rivers,02--03,ORL,7,0.424,31.0,73.1,0.316,5.1,16.3,0.7809999999999999,20.4,26.1,38.1,9.9,28.3,16.0,5.3,4.0,14.7,29.9,87.6,3,4,0.429
Doc Rivers,01--02,ORL,4,0.422,33.3,78.8,0.258,4.3,16.5,0.742,23.0,31.0,39.5,9.0,30.5,19.5,5.5,3.8,11.5,25.8,93.8,1,3,0.25
Doc Rivers,00--01,ORL,4,0.435,39.0,89.8,0.39,8.0,20.5,0.684,16.8,24.5,43.8,13.5,30.3,22.0,8.0,6.3,11.0,26.5,102.8,1,3,0.25
Red Rocha,58--59,DET,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Red Rocha,57--58,DET,7,,,,,,,,,,,,,,,,,,,3,4,0.429
Jimmy Rodgers,89--90,BOS,5,0.5479999999999999,45.6,83.2,0.235,1.6,6.8,0.861,26.0,30.2,40.0,11.8,28.2,30.2,6.8,6.0,17.2,21.2,118.8,2,3,0.4
Jimmy Rodgers,88--89,BOS,3,0.444,37.0,83.3,0.0,0.0,2.7,0.731,16.3,22.3,40.0,9.7,30.3,21.7,6.7,2.3,13.7,24.0,90.3,0,3,0.0
Bill Russell,75--76,SEA,6,,,,,,,,,,,,,,,,,,,2,4,0.33299999999999996
Bill Russell,74--75,SEA,9,,,,,,,,,,,,,,,,,,,4,5,0.444
Bill Russell,68--69,BOS,18,,,,,,,,,,,,,,,,,,,12,6,0.667
Bill Russell,67--68,BOS,19,,,,,,,,,,,,,,,,,,,12,7,0.632
Bill Russell,66--67,BOS,9,,,,,,,,,,,,,,,,,,,4,5,0.444
Flip Saunders,07--08,DET,17,0.455,33.9,74.5,0.341,4.5,13.3,0.802,19.1,23.8,36.2,10.6,25.6,20.5,7.4,5.8,11.7,23.3,91.4,10,7,0.588
Flip Saunders,06--07,DET,16,0.43,32.7,76.0,0.35,5.8,16.6,0.767,20.2,26.3,40.6,11.8,28.8,20.1,7.1,4.7,12.6,23.9,91.4,10,6,0.625
Flip Saunders,05--06,DET,18,0.4320000000000001,32.1,74.3,0.3720000000000001,6.9,18.5,0.7240000000000001,20.6,28.4,38.8,11.3,27.4,18.7,6.4,4.1,10.9,20.4,91.7,10,8,0.556
Flip Saunders,03--04,MIN,18,0.441,33.9,77.1,0.387,5.9,15.2,0.78,18.2,23.3,42.1,9.7,32.4,19.3,6.6,5.2,14.3,24.3,91.9,10,8,0.556
Flip Saunders,02--03,MIN,6,0.463,37.5,81.0,0.333,4.7,14.0,0.8059999999999999,20.8,25.8,42.2,8.8,33.3,22.0,6.8,3.5,14.8,24.2,100.5,2,4,0.33299999999999996
Flip Saunders,01--02,MIN,3,0.444,36.0,81.0,0.395,5.0,12.7,0.721,25.0,34.7,49.3,14.3,35.0,16.0,5.7,2.7,15.0,27.0,102.0,0,3,0.0
Flip Saunders,00--01,MIN,4,0.387,30.8,79.5,0.3,3.0,10.0,0.8140000000000001,17.5,21.5,42.5,11.0,31.5,18.5,7.5,5.8,11.8,24.3,82.0,1,3,0.25
Flip Saunders,99--00,MIN,4,0.448,34.3,76.5,0.308,3.0,9.8,0.7859999999999999,13.8,17.5,35.0,10.3,24.8,23.5,6.0,4.0,10.8,23.8,85.3,1,3,0.25
Flip Saunders,98--99,MIN,4,0.396,32.0,80.8,0.313,2.5,8.0,0.767,14.0,18.3,43.5,14.3,29.3,18.8,6.5,6.0,13.8,24.0,80.5,1,3,0.25
Flip Saunders,97--98,MIN,5,0.416,33.2,79.8,0.378,7.4,19.6,0.804,16.4,20.4,39.4,13.6,25.8,23.2,7.4,3.6,13.0,22.6,90.2,2,3,0.4
Flip Saunders,96--97,MIN,3,0.451,40.0,88.7,0.38,6.3,16.7,0.741,13.3,18.0,38.7,14.0,24.7,24.0,7.7,4.0,8.7,23.3,99.7,0,3,0.0
Herm Schaefer,52--53,INO,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Herm Schaefer,51--52,INO,2,,,,,,,,,,,,,,,,,,,0,2,0.0
Fred Schaus,66--67,LAL,3,,,,,,,,,,,,,,,,,,,0,3,0.0
Fred Schaus,65--66,LAL,14,,,,,,,,,,,,,,,,,,,7,7,0.5
Fred Schaus,64--65,LAL,11,,,,,,,,,,,,,,,,,,,5,6,0.455
Fred Schaus,63--64,LAL,5,,,,,,,,,,,,,,,,,,,2,3,0.4
Fred Schaus,62--63,LAL,13,,,,,,,,,,,,,,,,,,,6,7,0.462
Fred Schaus,61--62,LAL,13,,,,,,,,,,,,,,,,,,,7,6,0.5379999999999999
Fred Schaus,60--61,LAL,12,,,,,,,,,,,,,,,,,,,6,6,0.5
Dolph Schayes,65--66,PHI,5,,,,,,,,,,,,,,,,,,,1,4,0.2
Dolph Schayes,64--65,PHI,11,,,,,,,,,,,,,,,,,,,6,5,0.545
Dolph Schayes,63--64,PHI,5,,,,,,,,,,,,,,,,,,,2,3,0.4
Mike Schuler,87--88,POR,4,0.4270000000000001,41.0,96.0,0.32299999999999995,2.5,7.8,0.752,19.8,26.3,48.0,19.0,29.0,22.5,9.8,4.3,16.0,29.0,104.3,1,3,0.25
Mike Schuler,86--87,POR,4,0.467,40.3,86.3,0.267,1.0,3.8,0.768,27.3,35.5,42.5,15.3,27.3,22.8,8.5,3.8,15.0,26.5,108.8,1,3,0.25
Byron Scott,08--09,NOH,5,0.396,27.8,70.2,0.326,6.0,18.4,0.807,22.6,28.0,37.0,9.2,27.8,15.8,6.6,2.6,17.0,24.8,84.2,1,4,0.2
Byron Scott,07--08,NOH,12,0.464,37.6,81.0,0.411,5.8,14.0,0.774,15.7,20.3,42.1,10.3,31.8,19.3,7.3,5.1,8.2,20.7,96.6,7,5,0.583
Byron Scott,02--03,NJN,20,0.425,34.2,80.6,0.35,4.7,13.3,0.762,20.6,27.1,45.1,13.6,31.5,21.3,7.5,4.3,14.9,25.1,93.7,14,6,0.7
Byron Scott,01--02,NJN,20,0.4320000000000001,35.9,82.9,0.285,4.2,14.6,0.726,19.5,26.9,42.7,12.4,30.4,21.3,7.9,5.5,13.9,24.5,95.4,11,9,0.55
