姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Mike Brown,11--12,LAL,66,0.457,36.8,80.6,0.326,5.5,16.8,0.7559999999999999,18.2,24.1,46.2,12.1,34.1,22.5,5.9,5.3,14.5,16.8,97.3,41,25,0.621
Mike Brown,09--01,CLE,82,0.485,37.8,77.9,0.381,7.3,19.3,0.72,19.1,26.6,42.5,9.6,32.8,22.4,6.9,5.2,13.0,19.4,102.1,61,21,0.7440000000000001
Mike Brown,08--09,CLE,82,0.468,36.9,78.7,0.393,8.0,20.4,0.757,18.6,24.5,42.2,10.8,31.4,20.3,7.2,5.3,12.0,20.3,100.3,66,16,0.805
Mike Brown,07--08,CLE,82,0.439,35.8,81.7,0.358,6.7,18.8,0.7170000000000001,18.0,25.1,44.6,13.3,31.3,20.0,7.1,5.2,13.2,20.9,96.4,45,37,0.5489999999999999
Mike Brown,06--07,CLE,82,0.447,36.3,81.2,0.35200000000000004,6.0,17.1,0.696,18.1,26.0,43.5,12.7,30.8,20.8,7.6,4.3,13.7,21.7,96.8,50,32,0.61
Mike Brown,05--06,CLE,82,0.454,35.5,78.2,0.339,6.1,17.9,0.7290000000000001,20.6,28.3,42.3,11.7,30.6,19.0,6.9,4.8,13.4,21.1,97.6,50,32,0.61
Philip Brownstein,49--50,CHS,68,,,,,,,,,,,,,,,,,,,40,28,0.588
Quinn Buckner,93--94,DAL,82,0.4320000000000001,37.3,86.2,0.312,2.9,9.4,0.747,17.7,23.7,41.7,15.5,26.2,19.9,9.4,3.6,16.2,24.5,95.1,13,69,0.159
Bucky Buckwalter,72--73,SEA,37,,,,,,,,,,,,,,,,,,,13,24,0.35100000000000003
Mike Budenholzer,16--17,ATL,82,0.451,38.1,84.4,0.341,8.9,26.1,0.728,18.1,24.9,44.4,10.3,34.1,23.6,8.2,4.9,15.2,18.2,103.2,43,39,0.524
Mike Budenholzer,15--16,ATL,82,0.458,38.6,84.4,0.35,9.9,28.4,0.7829999999999999,15.6,20.0,42.1,8.3,33.8,25.6,9.1,6.0,14.5,19.1,102.8,48,34,0.585
