姓名,球队,薪金（万美元）,赛季
Matt Barnes,SAC,613,16-17
Matt Barnes,GSW,38,16-17
Matt Barnes,SAC,213,17-18
Matt Barnes,SAC,213,18-19
Matt Barnes,SAC,213,19-20
Erick Barkley,POR,71,00-01
Erick Barkley,POR,64,01-02
Erick Barkley,CHI,68,02-03
Charles Barkley,PHI,44,85-86
Charles Barkley,PHI,82,87-88
Charles Barkley,PHI,154,88-89
Charles Barkley,PHI,290,90-91
Charles Barkley,PHI,320,91-92
Charles Barkley,PHO,242,92-93
Charles Barkley,PHO,325,93-94
Charles Barkley,PHO,403,94-95
Charles Barkley,PHO,476,95-96
Charles Barkley,HOU,470,96-97
Charles Barkley,HOU,225,97-98
Charles Barkley,HOU,100,98-99
Charles Barkley,HOU,900,99-00
Andrea Bargnani,TOR,450,06-07
Andrea Bargnani,TOR,484,07-08
Andrea Bargnani,TOR,518,08-09
Andrea Bargnani,TOR,653,09-10
Andrea Bargnani,TOR,850,10-11
Andrea Bargnani,TOR,925,11-12
Andrea Bargnani,TOR,1000,12-13
Andrea Bargnani,NYK,1186,13-14
Andrea Bargnani,NYK,1150,14-15
Andrea Bargnani,BKN,136,15-16
Andrea Bargnani,BKN,32,16-17
Jose Barea,DAL,41,06-07
Jose Barea,DAL,69,07-08
Jose Barea,DAL,150,08-09
Jose Barea,DAL,166,09-10
Jose Barea,DAL,182,10-11
Jose Barea,MIN,430,11-12
Jose Barea,MIN,449,12-13
Jose Barea,MIN,469,13-14
Jose Barea,DAL,131,14-15
Jose Barea,DAL,400,15-16
Jose Barea,DAL,410,16-17
Jose Barea,DAL,390,17-18
Jose Barea,DAL,371,18-19
Steve Bardo,DAL,15,92-93
Steve Bardo,DET,23,95-96
Leandro Barbosa,PHO,81,03-04
Leandro Barbosa,PHO,87,04-05
Leandro Barbosa,PHO,93,05-06
Leandro Barbosa,PHO,168,06-07
Leandro Barbosa,PHO,560,07-08
Leandro Barbosa,PHO,610,08-09
Leandro Barbosa,PHO,660,09-10
Leandro Barbosa,TOR,710,10-11
Leandro Barbosa,TOR,760,11-12
Leandro Barbosa,WAS,123,12-13
Leandro Barbosa,PHO,41,13-14
Leandro Barbosa,GSW,145,14-15
Leandro Barbosa,GSW,250,15-16
Leandro Barbosa,PHO,400,16-17
Leandro Barbosa,PHO,50,17-18
Ken Bannister,NYK,11,85-86
Ken Bannister,UTA,5,90-91
Ken Bannister,LAC,40,90-91
Ken Bannister,LAC,30,91-92
Marcus Banks,BOS,150,03-04
Marcus Banks,BOS,161,04-05
Marcus Banks,BOS,172,05-06
Marcus Banks,PHO,367,06-07
Marcus Banks,MIA,397,07-08
Marcus Banks,TOR,426,08-09
Marcus Banks,TOR,455,09-10
Marcus Banks,NOH,485,10-11
Gene Banks,CHI,23,85-86
Greg Ballard,GSW,52,85-86
Renaldo Balkman,NYK,119,06-07
Renaldo Balkman,NYK,128,07-08
Renaldo Balkman,DEN,137,08-09
Renaldo Balkman,DEN,211,09-10
Renaldo Balkman,NYK,168,10-11
Renaldo Balkman,NYK,168,11-12
Renaldo Balkman,NYK,168,12-13
Vin Baker,MIL,87,93-94
Vin Baker,MIL,107,94-95
Vin Baker,MIL,377,95-96
Vin Baker,MIL,377,96-97
Vin Baker,,406,97-98
Vin Baker,,426,98-99
Vin Baker,,900,99-00
Vin Baker,,1013,00-01
Vin Baker,,1125,01-02
Vin Baker,BOS,1238,02-03
Vin Baker,BOS,1350,03-04
Vin Baker,NYK,350,04-05
Vin Baker,BOS,533,04-05
Vin Baker,BOS,533,05-06
Vin Baker,HOU,385,05-06
Vin Baker,BOS,524,06-07
Vin Baker,MIN,9,06-07
Toby Bailey,PHO,29,98-99
Toby Bailey,PHO,54,99-00
Thurl Bailey,UTA,26,85-86
Thurl Bailey,UTA,55,87-88
Thurl Bailey,UTA,60,88-89
Thurl Bailey,UTA,100,90-91
Thurl Bailey,MIN,100,91-92
Thurl Bailey,MIN,100,92-93
Thurl Bailey,MIN,100,93-94
Thurl Bailey,UTA,85,98-99
Thurl Bailey,UTA,51,99-00
James Bailey,NYK,50,85-86
James Bailey,PHO,30,87-88
John Bagley,CLE,30,85-86
John Bagley,,48,87-88
John Bagley,,50,88-89
John Bagley,BOS,55,90-91
John Bagley,BOS,55,91-92
John Bagley,BOS,55,92-93
John Bagley,BOS,60,93-94
Dalibor Bagaric,CHI,80,00-01
Dalibor Bagaric,CHI,85,01-02
Dalibor Bagaric,CHI,83,02-03
Dalibor Bagaric,CHI,160,03-04
Milos Babic,CLE,20,90-91
Luke Babbitt,POR,165,10-11
Luke Babbitt,POR,177,11-12
Luke Babbitt,POR,189,12-13
Luke Babbitt,NOH,39,13-14
Luke Babbitt,NOH,98,14-15
Luke Babbitt,NOH,110,15-16
Luke Babbitt,MIA,123,16-17
Rastko Cvetkovic,DEN,20,95-96
Stephen Curry,GSW,271,09-10
Stephen Curry,GSW,291,10-11
Stephen Curry,GSW,312,11-12
Stephen Curry,GSW,396,12-13
Stephen Curry,GSW,989,13-14
Stephen Curry,GSW,1063,14-15
Stephen Curry,GSW,1137,15-16
Stephen Curry,GSW,1211,16-17
Stephen Curry,GSW,3468,17-18
Stephen Curry,GSW,3746,18-19
Stephen Curry,GSW,4023,19-20
Stephen Curry,GSW,4301,20-21
Stephen Curry,GSW,4578,21-22
Michael Curry,PHI,15,93-94
Michael Curry,DET,40,96-97
Michael Curry,MIL,50,97-98
Michael Curry,MIL,55,98-99
Michael Curry,DET,200,99-00
Michael Curry,DET,220,00-01
Michael Curry,DET,240,01-02
Michael Curry,DET,260,02-03
Michael Curry,TOR,280,03-04
Michael Curry,IND,85,04-05
JamesOn Curry,CHI,43,07-08
JamesOn Curry,LAC,3,09-10
Eddy Curry,CHI,268,01-02
Eddy Curry,CHI,288,02-03
Eddy Curry,CHI,308,03-04
Eddy Curry,CHI,390,04-05
Eddy Curry,NYK,739,05-06
Eddy Curry,NYK,817,06-07
Eddy Curry,NYK,895,07-08
Eddy Curry,NYK,972,08-09
Eddy Curry,NYK,1050,09-10
Eddy Curry,MIN,1153,10-11
Eddy Curry,MIA,123,11-12
Eddy Curry,DAL,2,12-13
Dell Curry,CLE,25,87-88
Dell Curry,CHA,29,88-89
Dell Curry,CHA,90,90-91
Dell Curry,CHA,101,91-92
Dell Curry,CHA,75,92-93
Dell Curry,CHA,104,93-94
Dell Curry,CHA,134,94-95
Dell Curry,CHA,157,95-96
Dell Curry,CHA,183,96-97
Dell Curry,CHA,366,97-98
Dell Curry,MIL,100,98-99
Dell Curry,TOR,210,99-00
Dell Curry,TOR,200,00-01
Dell Curry,TOR,210,01-02
Bill Curley,DET,70,94-95
Bill Curley,POR,91,95-96
Bill Curley,MIN,112,96-97
Bill Curley,MIN,133,97-98
Bill Curley,MIN,154,98-99
Bill Curley,GSW,12,99-00
Bill Curley,GSW,61,00-01
Bill Curley,DAL,42,00-01
Earl Cureton,DET,21,85-86
Earl Cureton,LAC,27,87-88
Earl Cureton,CHA,18,88-89
Earl Cureton,TOR,21,96-97
Radisav Curcic,DAL,14,92-93
William Cunningham,PHO,5,97-98
William Cunningham,,35,98-99
William Cunningham,,50,00-01
Dante Cunningham,POR,46,09-10
Dante Cunningham,CHA,76,10-11
Dante Cunningham,MEM,200,11-12
Dante Cunningham,MIN,209,12-13
Dante Cunningham,MIN,218,13-14
Dante Cunningham,NOH,83,14-15
Dante Cunningham,NOH,300,15-16
Dante Cunningham,NOH,298,16-17
Vonteego Cummings,GSW,70,99-00
Vonteego Cummings,GSW,76,00-01
Vonteego Cummings,PHI,81,01-02
Terry Cummings,MIL,63,85-86
Terry Cummings,MIL,133,87-88
Terry Cummings,MIL,140,88-89
Terry Cummings,SAS,186,90-91
Terry Cummings,SAS,186,91-92
Terry Cummings,SAS,241,92-93
Terry Cummings,SAS,241,93-94
Terry Cummings,SAS,241,94-95
Terry Cummings,MIL,65,95-96
Terry Cummings,PHI,100,97-98
Terry Cummings,GSW,115,98-99
Terry Cummings,GSW,260,99-00
Terry Cummings,GSW,220,00-01
Pat Cummings,NYK,61,85-86
Pat Cummings,NYK,71,87-88
Pat Cummings,MIA,53,88-89
Corey Crowder,UTA,13,91-92
Corey Crowder,UTA,25,92-93
Corey Crowder,SAS,14,94-95
John Crotty,UTA,14,92-93
John Crotty,UTA,20,93-94
John Crotty,UTA,25,94-95
John Crotty,CLE,35,95-96
John Crotty,POR,42,97-98
John Crotty,,60,98-99
John Crotty,POR,50,98-99
John Crotty,POR,76,99-00
John Crotty,DET,48,99-00
John Crotty,UTA,80,00-01
John Crotty,UTA,100,01-02
John Crotty,DEN,14,02-03
Austin Croshere,IND,117,97-98
Austin Croshere,IND,134,98-99
Austin Croshere,IND,152,99-00
Austin Croshere,IND,530,00-01
Austin Croshere,IND,631,01-02
Austin Croshere,IND,696,02-03
Austin Croshere,IND,761,03-04
Austin Croshere,IND,826,04-05
Austin Croshere,IND,790,05-06
Austin Croshere,DAL,730,06-07
Austin Croshere,GSW,122,07-08
Austin Croshere,MIL,53,08-09
Austin Croshere,SAS,7,08-09
Javaris Crittenton,MEM,129,07-08
Javaris Crittenton,WAS,138,08-09
Javaris Crittenton,WAS,148,09-10
Winston Crite,PHO,10,87-88
Winston Crite,PHO,13,88-89
Joe Crispin,LAL,5,01-02
Jordan Crawford,WAS,104,10-11
Jordan Crawford,WAS,112,11-12
Jordan Crawford,BOS,120,12-13
Jordan Crawford,BOS,216,13-14
Jordan Crawford,GSW,216,13-14
Jordan Crawford,NOH,23,16-17
Jordan Crawford,NOH,171,17-18
Jamal Crawford,CHI,176,00-01
Jamal Crawford,CHI,189,01-02
Jamal Crawford,CHI,203,02-03
Jamal Crawford,CHI,258,03-04
Jamal Crawford,NYK,576,04-05
Jamal Crawford,NYK,648,05-06
Jamal Crawford,NYK,720,06-07
Jamal Crawford,NYK,792,07-08
Jamal Crawford,GSW,864,08-09
Jamal Crawford,ATL,936,09-10
Jamal Crawford,ATL,1080,10-11
Jamal Crawford,POR,500,11-12
Jamal Crawford,LAC,500,12-13
Jamal Crawford,LAC,523,13-14
Jamal Crawford,LAC,545,14-15
Jamal Crawford,LAC,568,15-16
Jamal Crawford,LAC,1325,16-17
Jamal Crawford,ATL,1426,17-18
Jamal Crawford,MIN,433,17-18
Jamal Crawford,ATL,300,18-19
Jamal Crawford,MIN,454,18-19
Chris Crawford,ATL,24,97-98
Chris Crawford,ATL,35,98-99
Chris Crawford,ATL,200,99-00
Chris Crawford,ATL,220,00-01
Chris Crawford,ATL,250,01-02
Chris Crawford,ATL,275,02-03
Chris Crawford,ATL,300,03-04
Chris Crawford,ATL,325,04-05
DeMarcus Cousins,SAC,337,10-11
DeMarcus Cousins,SAC,363,11-12
DeMarcus Cousins,SAC,388,12-13
DeMarcus Cousins,SAC,492,13-14
DeMarcus Cousins,SAC,1370,14-15
DeMarcus Cousins,SAC,1473,15-16
DeMarcus Cousins,NOH,1696,16-17
DeMarcus Cousins,NOH,1806,17-18
Joe Courtney,PHO,15,93-94
Joe Courtney,CHA,1,94-95
Joe Courtney,CLE,23,95-96
James Cotton,,24,97-98
James Cotton,CHI,46,99-00
Dave Corzine,CHI,71,85-86
Dave Corzine,CHI,70,87-88
Dave Corzine,CHI,50,88-89
Dave Corzine,,30,90-91
Dave Corzine,,30,91-92
Chris Corchiani,ORL,30,92-93
Chris Corchiani,BOS,15,93-94
Tyrone Corbin,SAS,9,85-86
Tyrone Corbin,PHO,13,87-88
Tyrone Corbin,PHO,20,88-89
Tyrone Corbin,MIN,83,90-91
Tyrone Corbin,UTA,92,91-92
Tyrone Corbin,UTA,110,92-93
Tyrone Corbin,UTA,140,93-94
Tyrone Corbin,ATL,160,94-95
Tyrone Corbin,SAC,170,95-96
Tyrone Corbin,ATL,25,96-97
Tyrone Corbin,ATL,33,97-98
Tyrone Corbin,ATL,240,98-99
Tyrone Corbin,SAC,51,99-00
Tyrone Corbin,TOR,100,00-01
Lanard Copeland,LAC,13,91-92
Tom Copa,SAS,16,91-92
Wayne Cooper,DEN,30,85-86
Wayne Cooper,DEN,65,87-88
Wayne Cooper,DEN,75,88-89
Wayne Cooper,POR,110,90-91
Wayne Cooper,POR,120,91-92
Michael Cooper,LAL,37,85-86
Michael Cooper,LAL,68,87-88
Duane Cooper,LAL,14,92-93
Duane Cooper,PHO,15,93-94
Omar Cook,DAL,29,01-02
Jeff Cook,SAS,15,85-86
Jeff Cook,PHO,18,87-88
Darwin Cook,,28,85-86
Darwin Cook,SAS,40,88-89
Daequan Cook,MIA,118,07-08
Daequan Cook,MIA,127,08-09
Daequan Cook,MIA,136,09-10
Daequan Cook,OKC,217,10-11
Daequan Cook,OKC,334,11-12
Daequan Cook,HOU,309,12-13
Daequan Cook,CHI,59,12-13
Brian Cook,LAL,90,03-04
Brian Cook,LAL,97,04-05
Brian Cook,LAL,104,05-06
Brian Cook,LAL,182,06-07
Brian Cook,ORL,350,07-08
Brian Cook,HOU,350,08-09
Brian Cook,HOU,350,09-10
Brian Cook,LAC,115,10-11
Brian Cook,LAC,122,11-12
Anthony Cook,DEN,37,90-91
Anthony Cook,DEN,48,91-92
Anthony Cook,DEN,57,92-93
Anthony Cook,MIL,65,93-94
Anthony Cook,POR,23,95-96
Will Conroy,MEM,2,06-07
Will Conroy,LAC,2,06-07
Will Conroy,HOU,5,09-10
Will Conroy,MIN,9,12-13
Lester Conner,GSW,20,85-86
Lester Conner,HOU,18,87-88
Lester Conner,,23,88-89
Lester Conner,MIL,90,90-91
Lester Conner,MIL,90,91-92
Lester Conner,ORL,89,92-93
Lester Conner,ORL,3,93-94
Marty Conlon,,13,91-92
Marty Conlon,SAC,20,92-93
Marty Conlon,SAC,25,93-94
Marty Conlon,MIL,18,94-95
Marty Conlon,MIL,117,95-96
Marty Conlon,PHO,120,96-97
Marty Conlon,BOS,25,96-97
Marty Conlon,MIA,66,98-99
Marty Conlon,BOS,23,99-00
Marty Conlon,LAC,11,99-00
Mike Conley,MEM,338,07-08
Mike Conley,MEM,363,08-09
Mike Conley,MEM,388,09-10
Mike Conley,MEM,491,10-11
Mike Conley,MEM,661,11-12
Mike Conley,MEM,731,12-13
Mike Conley,MEM,800,13-14
Mike Conley,MEM,889,14-15
Mike Conley,MEM,959,15-16
Mike Conley,MEM,2654,16-17
Mike Conley,MEM,2853,17-18
Mike Conley,MEM,3052,18-19
Mike Conley,MEM,3251,19-20
Mike Conley,MEM,3450,20-21
Dallas Comegys,,12,87-88
Dallas Comegys,SAS,18,88-89
Steve Colter,POR,11,85-86
Steve Colter,,15,87-88
Steve Colter,,20,88-89
Steve Colter,SAC,30,90-91
Steve Colter,CLE,15,94-95
Nick Collison,,158,03-04
Nick Collison,,197,04-05
Nick Collison,,182,05-06
Nick Collison,,250,06-07
Nick Collison,,575,07-08
Nick Collison,OKC,635,08-09
Nick Collison,OKC,625,09-10
Nick Collison,OKC,1325,10-11
Nick Collison,OKC,327,11-12
Nick Collison,OKC,293,12-13
Nick Collison,OKC,259,13-14
Nick Collison,OKC,224,14-15
Nick Collison,OKC,375,15-16
Nick Collison,OKC,375,16-17
Nick Collison,OKC,233,17-18
Darren Collison,NOH,127,09-10
Darren Collison,IND,136,10-11
Darren Collison,IND,146,11-12
Darren Collison,DAL,232,12-13
Darren Collison,LAC,190,13-14
Darren Collison,SAC,480,14-15
Darren Collison,SAC,501,15-16
Darren Collison,SAC,523,16-17
Sherron Collins,CHA,47,10-11
Mardy Collins,NYK,90,06-07
Mardy Collins,NYK,97,07-08
Mardy Collins,LAC,103,08-09
Mardy Collins,LAC,187,09-10
Jason Collins,,107,01-02
Jason Collins,,115,02-03
Jason Collins,,123,03-04
Jason Collins,,189,04-05
Jason Collins,,550,05-06
Jason Collins,,580,06-07
Jason Collins,MEM,610,07-08
Jason Collins,MIN,620,08-09
Jason Collins,ATL,118,09-10
Jason Collins,ATL,135,10-11
Jason Collins,ATL,135,11-12
Jason Collins,WAS,135,12-13
Jason Collins,BKN,27,13-14
Jarron Collins,UTA,33,01-02
Jarron Collins,UTA,115,02-03
Jarron Collins,UTA,125,03-04
Jarron Collins,UTA,170,04-05
Jarron Collins,UTA,170,05-06
Jarron Collins,UTA,263,06-07
Jarron Collins,UTA,235,07-08
Jarron Collins,UTA,207,08-09
Jarron Collins,PHO,118,09-10
Jarron Collins,LAC,64,10-11
James Collins,LAC,24,97-98
Jason Collier,HOU,119,00-01
Jason Collier,HOU,128,01-02
Jason Collier,HOU,137,02-03
Jason Collier,ATL,150,04-05
Jason Collier,ATL,165,05-06
Bimbo Coles,MIA,29,90-91
Bimbo Coles,MIA,21,91-92
Bimbo Coles,MIA,65,92-93
Bimbo Coles,MIA,80,93-94
Bimbo Coles,MIA,90,94-95
Bimbo Coles,MIA,100,95-96
Bimbo Coles,GSW,140,96-97
Bimbo Coles,GSW,170,97-98
Bimbo Coles,GSW,200,98-99
Bimbo Coles,ATL,230,99-00
Bimbo Coles,CLE,225,00-01
Bimbo Coles,CLE,220,01-02
Bimbo Coles,CLE,240,02-03
Bimbo Coles,MIA,107,03-04
Bimbo Coles,CLE,105,03-04
Derrick Coleman,,210,90-91
Derrick Coleman,,230,91-92
Derrick Coleman,,287,92-93
Derrick Coleman,,344,93-94
Derrick Coleman,,421,94-95
Derrick Coleman,PHI,548,95-96
Derrick Coleman,PHI,674,96-97
Derrick Coleman,PHI,800,97-98
Derrick Coleman,PHI,560,98-99
Derrick Coleman,CHA,667,98-99
Derrick Coleman,CHA,737,99-00
Derrick Coleman,CHA,800,00-01
Derrick Coleman,PHI,871,01-02
Derrick Coleman,PHI,938,02-03
Derrick Coleman,PHI,400,03-04
Derrick Coleman,DET,450,04-05
Derrick Coleman,DET,200,05-06
Ben Coleman,PHI,28,87-88
Ben Coleman,PHI,30,88-89
Norris Cole,MIA,104,11-12
Norris Cole,MIA,108,12-13
Norris Cole,MIA,113,13-14
Norris Cole,NOH,204,14-15
Norris Cole,NOH,304,15-16
Norris Cole,OKC,25,16-17
John Coker,PHO,20,95-96
John Coker,WAS,35,98-99
John Coker,WAS,51,99-00
Fred Cofield,NYK,7,85-86
Richard Coffey,MIN,15,90-91
Keith Closs,LAC,120,97-98
Keith Closs,LAC,144,98-99
Keith Closs,LAC,168,99-00
Keith Closs,LAC,192,00-01
Mateen Cleaves,DET,125,00-01
Mateen Cleaves,SAC,135,01-02
Mateen Cleaves,SAC,144,02-03
Mateen Cleaves,,74,04-05
Mateen Cleaves,,31,05-06
Speedy Claxton,PHI,94,00-01
Speedy Claxton,PHI,101,01-02
Speedy Claxton,SAS,108,02-03
Speedy Claxton,GSW,300,03-04
Speedy Claxton,GSW,330,04-05
Speedy Claxton,NOH,360,05-06
Speedy Claxton,ATL,685,06-07
Speedy Claxton,ATL,631,07-08
Speedy Claxton,ATL,576,08-09
Speedy Claxton,GSW,521,09-10
Keon Clark,DEN,100,98-99
Keon Clark,DEN,129,99-00
Keon Clark,DEN,138,00-01
Keon Clark,TOR,197,01-02
Keon Clark,SAC,455,02-03
Keon Clark,UTA,500,03-04
Earl Clark,PHO,177,09-10
Earl Clark,ORL,190,10-11
Earl Clark,ORL,116,11-12
Earl Clark,LAL,124,12-13
Earl Clark,CLE,425,13-14
Earl Clark,BKN,6,14-15
Doug Christie,LAL,145,93-94
Doug Christie,NYK,124,94-95
Doug Christie,NYK,147,95-96
Doug Christie,TOR,136,96-97
Doug Christie,TOR,201,97-98
Doug Christie,TOR,235,98-99
Doug Christie,TOR,274,99-00
Doug Christie,SAC,314,00-01
Doug Christie,SAC,520,01-02
Doug Christie,SAC,625,02-03
Doug Christie,SAC,690,03-04
Doug Christie,SAC,755,04-05
Doug Christie,DAL,158,05-06
Doug Christie,ORL,820,05-06
Doug Christie,LAC,16,06-07
Chris Childs,,15,94-95
Chris Childs,,35,95-96
Chris Childs,NYK,260,96-97
Chris Childs,NYK,312,97-98
Chris Childs,NYK,364,98-99
Chris Childs,NYK,416,99-00
Chris Childs,NYK,468,00-01
Chris Childs,TOR,520,01-02
Chris Childs,,175,02-03
Chris Childs,,117,03-04
Randolph Childress,POR,68,95-96
Randolph Childress,POR,78,96-97
Randolph Childress,DET,76,97-98
Randolph Childress,DET,87,98-99
Josh Childress,ATL,249,04-05
Josh Childress,ATL,268,05-06
Josh Childress,ATL,286,06-07
Josh Childress,ATL,363,07-08
Josh Childress,PHO,650,10-11
Josh Childress,PHO,600,11-12
Josh Childress,BKN,38,12-13
Josh Childress,PHO,700,12-13
Josh Childress,PHO,732,14-15
Pete Chilcutt,SAC,48,91-92
Pete Chilcutt,SAC,63,92-93
Pete Chilcutt,SAC,76,93-94
Pete Chilcutt,HOU,13,94-95
Pete Chilcutt,HOU,70,95-96
Pete Chilcutt,,70,96-97
Pete Chilcutt,,70,97-98
Pete Chilcutt,,70,98-99
Pete Chilcutt,UTA,51,99-00
Derrick Chievous,HOU,35,88-89
Derrick Chievous,CLE,53,90-91
Maurice Cheeks,PHI,40,85-86
Maurice Cheeks,PHI,100,87-88
Maurice Cheeks,PHI,100,88-89
Maurice Cheeks,NYK,100,90-91
Maurice Cheeks,ATL,100,91-92
Maurice Cheeks,ATL,60,92-93
Calbert Cheaney,,200,93-94
Calbert Cheaney,,240,94-95
Calbert Cheaney,,280,95-96
Calbert Cheaney,,320,96-97
Calbert Cheaney,WAS,360,97-98
Calbert Cheaney,WAS,400,98-99
Calbert Cheaney,BOS,200,99-00
Calbert Cheaney,DEN,220,00-01
Calbert Cheaney,DEN,240,01-02
Calbert Cheaney,UTA,100,02-03
Calbert Cheaney,GSW,107,03-04
Calbert Cheaney,GSW,160,04-05
Calbert Cheaney,GSW,176,05-06
Lorenzo Charles,ATL,7,85-86
Rex Chapman,CHA,68,88-89
Rex Chapman,CHA,68,90-91
Rex Chapman,CHA,94,91-92
Rex Chapman,,200,92-93
Rex Chapman,,200,93-94
Rex Chapman,,200,94-95
Rex Chapman,MIA,200,95-96
Rex Chapman,PHO,25,96-97
Rex Chapman,PHO,33,97-98
Rex Chapman,PHO,280,98-99
Rex Chapman,PHO,315,99-00
Rex Chapman,PHO,350,00-01
Rex Chapman,PHO,385,01-02
Wilson Chandler,NYK,109,07-08
Wilson Chandler,NYK,117,08-09
Wilson Chandler,NYK,126,09-10
Wilson Chandler,DEN,213,10-11
Wilson Chandler,DEN,444,11-12
Wilson Chandler,DEN,593,12-13
Wilson Chandler,DEN,634,13-14
Wilson Chandler,DEN,676,14-15
Wilson Chandler,DEN,1050,15-16
Wilson Chandler,DEN,1120,16-17
Wilson Chandler,DEN,1202,17-18
Wilson Chandler,DEN,1280,18-19
Tyson Chandler,CHI,331,01-02
Tyson Chandler,CHI,356,02-03
Tyson Chandler,CHI,380,03-04
Tyson Chandler,CHI,480,04-05
Tyson Chandler,CHI,900,05-06
Tyson Chandler,NOH,915,06-07
Tyson Chandler,NOH,1025,07-08
Tyson Chandler,NOH,1135,08-09
Tyson Chandler,CHA,1185,09-10
Tyson Chandler,DAL,1260,10-11
Tyson Chandler,NYK,1311,11-12
Tyson Chandler,NYK,1360,12-13
Tyson Chandler,NYK,1410,13-14
Tyson Chandler,DAL,1460,14-15
Tyson Chandler,PHO,1300,15-16
Tyson Chandler,PHO,1242,16-17
Tyson Chandler,PHO,1300,17-18
Tyson Chandler,PHO,1359,18-19
Tom Chambers,,80,85-86
Tom Chambers,,95,87-88
Tom Chambers,PHO,180,88-89
Tom Chambers,PHO,206,90-91
Tom Chambers,PHO,228,91-92
Tom Chambers,PHO,189,92-93
Tom Chambers,PHO,69,93-94
Tom Chambers,UTA,61,93-94
Tom Chambers,UTA,170,94-95
Tom Chambers,PHO,27,97-98
Mario Chalmers,MIA,70,08-09
Mario Chalmers,MIA,77,09-10
Mario Chalmers,MIA,85,10-11
Mario Chalmers,MIA,400,11-12
Mario Chalmers,MIA,400,12-13
Mario Chalmers,MIA,400,13-14
Mario Chalmers,MIA,400,14-15
Mario Chalmers,MEM,430,15-16
Lionel Chalmers,LAC,45,04-05
Lionel Chalmers,MIN,68,05-06
John Celestand,LAL,30,99-00
Cedric Ceballos,PHO,18,90-91
Cedric Ceballos,PHO,25,91-92
Cedric Ceballos,PHO,35,92-93
Cedric Ceballos,PHO,200,93-94
Cedric Ceballos,LAL,175,94-95
Cedric Ceballos,LAL,225,95-96
Cedric Ceballos,LAL,240,96-97
Cedric Ceballos,PHO,261,97-98
Cedric Ceballos,DAL,75,98-99
Cedric Ceballos,DAL,350,99-00
Cedric Ceballos,MIA,394,00-01
Ron Cavenall,,10,88-89
Duane Causwell,SAC,65,90-91
Duane Causwell,SAC,82,91-92
Duane Causwell,SAC,95,92-93
Duane Causwell,SAC,126,93-94
Duane Causwell,SAC,155,94-95
Duane Causwell,SAC,183,95-96
Duane Causwell,SAC,222,96-97
Duane Causwell,MIA,121,97-98
Duane Causwell,MIA,145,98-99
Duane Causwell,MIA,170,99-00
Duane Causwell,MIA,400,00-01
Bobby Cattage,,7,85-86
Kelvin Cato,POR,100,97-98
Kelvin Cato,POR,115,98-99
Kelvin Cato,HOU,130,99-00
Kelvin Cato,HOU,533,00-01
Kelvin Cato,HOU,605,01-02
Kelvin Cato,HOU,670,02-03
Kelvin Cato,HOU,734,03-04
Kelvin Cato,ORL,799,04-05
Kelvin Cato,ORL,864,05-06
Kelvin Cato,NYK,107,06-07
Terry Catledge,PHI,15,85-86
Terry Catledge,,41,87-88
Terry Catledge,,46,88-89
Terry Catledge,ORL,109,90-91
Terry Catledge,ORL,139,91-92
Terry Catledge,ORL,109,92-93
Terry Catledge,ORL,139,93-94
Terry Catledge,ORL,169,94-95
Omri Casspi,SAC,117,09-10
Omri Casspi,SAC,125,10-11
Omri Casspi,SAC,108,11-12
Omri Casspi,CLE,134,11-12
Omri Casspi,CLE,228,12-13
Omri Casspi,HOU,95,13-14
Omri Casspi,SAC,106,14-15
Omri Casspi,SAC,300,15-16
Omri Casspi,NOH,300,16-17
Omri Casspi,MIN,14,16-17
Omri Casspi,GSW,211,17-18
Sam Cassell,HOU,65,93-94
Sam Cassell,HOU,85,94-95
Sam Cassell,HOU,104,95-96
Sam Cassell,DAL,124,96-97
Sam Cassell,,250,97-98
Sam Cassell,MIL,300,98-99
Sam Cassell,MIL,350,99-00
Sam Cassell,MIL,400,00-01
Sam Cassell,MIL,435,01-02
Sam Cassell,MIL,485,02-03
Sam Cassell,MIN,506,03-04
Sam Cassell,MIN,625,04-05
Sam Cassell,LAC,688,05-06
Sam Cassell,LAC,685,06-07
Sam Cassell,LAC,615,07-08
Sam Cassell,SAC,126,08-09
Bill Cartwright,NYK,93,85-86
Bill Cartwright,NYK,114,87-88
Bill Cartwright,CHI,123,88-89
Bill Cartwright,CHI,110,90-91
Bill Cartwright,CHI,200,91-92
Bill Cartwright,CHI,220,92-93
Bill Cartwright,CHI,240,93-94
Bill Cartwright,,150,94-95
Vince Carter,TOR,176,98-99
Vince Carter,TOR,227,99-00
Vince Carter,TOR,243,00-01
Vince Carter,TOR,307,01-02
Vince Carter,TOR,1007,02-03
Vince Carter,TOR,1133,03-04
Vince Carter,,1258,04-05
Vince Carter,,1384,05-06
Vince Carter,,1510,06-07
Vince Carter,,1332,07-08
Vince Carter,,1472,08-09
Vince Carter,ORL,1630,09-10
Vince Carter,PHO,1730,10-11
Vince Carter,DAL,300,11-12
Vince Carter,PHO,1830,11-12
Vince Carter,DAL,309,12-13
Vince Carter,DAL,318,13-14
Vince Carter,MEM,391,14-15
Vince Carter,MEM,409,15-16
Vince Carter,MEM,426,16-17
Vince Carter,SAC,800,17-18
Anthony Carter,MIA,39,99-00
Anthony Carter,MIA,120,00-01
Anthony Carter,MIA,325,01-02
Anthony Carter,MIA,366,02-03
Anthony Carter,SAS,75,03-04
Anthony Carter,MIN,81,04-05
