,XH,午餐平均消费,早餐次数,洗澡花销,洗澡次数,成绩等级
222,201408012,10,2,20.23,5,20
223,201408015,12.4,2,6.09,2,20
224,201408018,8.177272727,1,31.85,7,20
225,201408019,8.041851852,7,196.7,30,20
226,201408023,9.4,42,229.74,45,20
227,201408029,11.46428571,5,155.89,25,20
228,201408031,11.24848485,33,98.98,23,20
229,201408032,11.52438356,42,115.99,25,20
230,201408033,12.09266667,23,73.57,20,20
231,201408034,10.10612903,24,65.8,21,20
232,201408035,8.616666667,8,29.26,8,20
233,201408036,11.36521739,31,42.84,8,20
234,201408037,6,7,22.19,4,20
235,201408038,13.13681818,32,97.79,29,20
236,201408041,8.5625,3,55.16,20,20
237,201408047,7.559910714,154,17.71,6,20
238,201408058,9.964285714,2,7,2,20
239,201408061,7.610588235,25,78.89,27,10
240,201408065,14.03461538,14,155.47,33,20
241,201408071,8.474375,63,305.06,56,10
242,201408073,10.64466667,3,15.19,5,10
243,201408074,15.4,1,220.78,25,10
244,201408076,10.62682927,1,42,7,10
245,201408077,8.45,1,4.27,1,10
246,201408078,10.2036036,63,12.11,4,10
247,201408079,15.38198198,63,81.55,15,10
248,201408084,13.65294118,2,76.51,14,20
249,201408087,9.757857143,6,164.08,31,20
250,201408088,12.27272727,67,64.45,16,20
251,201408115,8.718181818,1,134.68,36,20
252,201408120,8.330769231,3,191.24,29,10
253,201408122,11.69358974,35,46.34,25,20
254,201408124,5.2,19,73.78,16,15
255,201408127,10.55424242,3,70.3,20,20
256,201408136,11.4625,1,14.63,6,20
257,201408138,7.6,4,102.06,26,20
258,201408139,13.48269231,46,118.79,42,20
259,201409021,11.81184211,43,181.03,70,15
260,201409022,11.5,16,21.45,11,15
261,201409023,10.33333333,3,38.89,13,10
262,201409025,8.003,26,143.83,30,10
263,201409026,10.62053571,9,1.6,1,10
264,201409029,10.90535714,8,23.36,9,10
265,201409031,10.45238095,3,132.59,40,10
266,201409032,8.7375,8,76.83,39,15
267,201409034,11.716,44,59.08,34,10
268,201409036,10.55405405,44,2.2,1,10
269,201409037,15.51351351,7,35.64,13,15
270,201409038,10.30098039,4,1.6,1,15
271,201409042,15.95,25,24.21,15,15
272,201409049,12.39545455,19,63.71,33,20
273,201409120,11.675,1,174.93,22,10
274,201409121,8.510833333,11,90.81,19,20
275,201409122,6.989361702,28,140.4,26,10
276,201409123,5,2,1.2,2,10
277,201409125,10.10714286,39,2.8,1,20
278,201409131,10.4725,5,25.77,9,20
279,201409132,9.275,6,4.94,2,20
280,201409134,8.118333333,38,103.85,27,10
281,201409136,10.06575342,4,71.64,37,15
282,201409137,9.278571429,47,2.8,1,15
283,201409139,8.902525253,89,62.42,20,10
284,201409220,9.811267606,24,6.4,3,15
285,201409225,17.35615764,63,2,1,10
286,201409226,12.27777778,13,66.9,22,10
287,201409228,8.3671875,5,71.05,34,10
288,201409229,10.84361111,83,53.83,13,10
289,201409320,10.28295455,13,78.19,50,10
290,201409323,8.795631068,7,63.49,31,15
291,201409324,11.64130435,22,47.51,18,10
292,201409325,8.519318182,23,20.07,9,15
293,201409327,12.5888,9,278.74,48,10
294,201409328,11.65483871,6,82.37,27,15
295,201409329,9.384615385,37,12,5,10
296,201409420,8.947826087,25,94.76,25,10
297,201409422,13.8625,4,27.22,18,10
298,201409423,11.64150943,9,67.01,20,15
299,201409426,7.635,5,31.58,11,10
300,201409427,10.61111111,3,36.16,13,10
301,201410000,9.737891892,166,150.78,33,10
302,201410001,13.275,23,27.93,5,10
303,201410002,11.37160494,92,395.01,81,15
304,201410003,8.08575,97,123.27,66,20
305,201410005,10.47909605,204,101.08,42,20
306,201410006,11.68928571,137,414.19,163,15
307,201410007,9.057045455,232,56.49,31,15
308,201410008,10.77515723,122,168.77,50,10
309,201410009,7.063362069,73,55.93,23,15
310,201410042,12.33181818,2,7.13,1,10
311,201410045,9.023333333,1,65.1,20,10
312,201410048,10.02272727,3,31.64,6,10
313,201410051,9.762068966,1,269.22,22,20
314,201410053,9,1,4.13,1,20
315,201410056,9.591,6,116.62,11,20
316,201410058,11.07673913,53,202.3,29,20
317,201410090,13.21826087,1,24.29,8,10
318,201410098,11.5,2,213.5,36,10
319,201410099,11.17,10,92.19,34,10
320,201410140,16.95952381,14,15.96,6,15
321,201410142,10.414375,11,155.47,30,10
322,201410143,11.5,19,184.38,49,10
323,201410144,5.5,1,114.59,24,15
324,201410145,12.595,1,198.1,31,15
325,201410146,18.62,2,207.48,44,20
326,201410148,13.55333333,3,175.91,30,20
327,201411010,9,1,17.85,9,20
328,201411014,9.35,4,125.58,18,20
329,201411015,9.626086957,8,83.37,20,20
330,201411017,8.136666667,3,122.99,28,20
331,201411018,9.2875,17,88.2,39,20
332,201411019,7.746666667,3,134.4,33,20
333,201411111,14,9,90.09,13,20
334,201411114,6.0475,5,191.73,44,20
335,201411118,7.667741935,27,146.3,27,20
336,201411119,9.104705882,45,43.19,20,20
337,201412039,10.075,1,26.18,5,20
338,201412056,12.20826087,29,37.1,8,20
339,201412074,10.70111111,2,51.45,9,20
340,201412135,9.171304348,20,45.99,9,20
341,201414003,11.51823529,44,43.4,6,20
342,201414004,13.27,39,2.41,1,20
343,201414006,14.54814815,28,27.02,7,20
344,201414008,10.72586207,6,107.17,41,20
345,201414010,8.881034483,25,173.72,22,15
346,201414011,10.81111111,4,3.43,1,20
347,201414012,11.75588235,17,74.69,19,20
348,201414016,10.55433333,33,92.12,17,15
349,201414017,10.17027397,37,31.57,10,10
350,201414018,16.78714286,25,13.79,6,20
351,201414019,8.225555556,2,429.38,37,20
352,201414051,16.07758621,8,99.19,18,20
353,201414052,9.691805556,37,21.63,6,10
354,201414054,10.11444444,6,9.03,5,20
355,201414056,9.7290625,34,51.73,14,20
356,201414060,11.43125,6,62.65,18,20
357,201414061,10.57,15,80.78,22,20
358,201414075,6.468809524,31,30.17,11,20
359,201414080,10.71,3,104.86,7,20
360,201414082,6.799512195,32,57.89,11,20
361,201414083,11.76117647,33,104.02,16,20
362,201414085,10.255,33,13.23,5,20
363,201414086,10.51421053,2,78.12,31,20
364,201414087,15.42462687,46,58.73,17,20
365,201414089,8.986585366,21,141.96,16,20
366,201414090,12.31791667,6,88.41,11,15
367,201414091,9.760740741,43,106.68,19,20
368,201414092,7.248148148,6,80.22,17,20
369,201414095,10.73978261,5,128.17,29,20
370,201414096,10.80142857,11,20.09,8,20
371,201414097,10.61926829,5,40.25,14,20
372,201414099,9.667346939,43,176.47,43,20
373,201414111,6.504680851,69,217.63,42,15
374,201414112,17.66666667,8,31.71,7,20
375,201414113,7.996190476,36,42.98,5,20
376,201414114,13.83851852,27,2.73,1,20
377,201414116,9.906346154,33,193.92,18,20
378,201414119,9.519387755,4,60.48,28,20
379,201414143,8.977619048,8,106.05,20,20
380,201414150,10.05860759,4,56.84,11,20
381,201414152,10.6071831,78,67.69,18,15
382,201414153,11.00460317,70,97.51,32,20
383,201414155,10.41869565,9,3.85,1,10
384,201414156,9,1,12.74,2,20
385,201414210,12.74135135,50,17.99,6,15
386,201414212,10.97258065,17,28.91,9,20
387,201414213,10.5530303,17,100.87,24,20
388,201414214,8.70147541,31,37.8,10,20
389,201414215,10.62962963,21,74.48,11,15
390,201414216,11.39877193,46,45.29,14,20
391,201414219,9.260208333,19,80.85,18,20
392,201414241,13.88283333,15,134.12,25,20
393,201414242,11.95,8,45.08,12,20
394,201414245,9.686865672,25,76.1,17,20
395,201414246,10.05789474,70,491.75,56,20
396,201414247,8.914186047,4,57.05,8,20
397,201414249,8.771666667,2,207.2,23,20
398,201415014,11.53068182,5,30.31,12,10
399,201415016,11.26153846,15,119.63,43,10
400,201415017,10.165,7,75.88,24,15
401,201415031,10.54,1,14.56,4,20
402,201415032,10.188,11,46.55,9,20
403,201415037,8.223333333,34,140.49,23,15
404,201415039,8.495098039,24,80.57,15,20
405,201415040,16.70416667,9,3.15,1,20
406,201415042,18.385,6,3.22,1,20
407,201415043,17.275,22,4.3,1,20
408,201415044,17.8,2,1.4,1,20
409,201415045,11.0818,50,128.73,29,20
410,201415048,11.91363636,23,5.67,2,20
411,201415050,9.445454545,4,51.94,32,20
412,201415051,9.32,10,194.18,33,20
413,201415052,10.48285714,3,71.19,18,20
414,201415053,16.83333333,23,76.93,24,20
415,201415055,11.53333333,1,42,16,15
416,201415056,9.925,13,264.26,43,20
417,201415060,13.5,2,54.25,7,10
418,201415064,6,1,43.68,14,10
419,201415120,11.763,26,56.07,6,20
420,201415121,6.417241379,1,319.82,51,20
421,201415125,12.97190476,7,3.43,2,20
422,201415126,14.01,7,130.9,14,20
423,201415127,10.32340909,39,7.21,2,10
424,201415128,11.08115385,44,45.71,9,20
425,201415129,10.37298851,1,24.22,3,15
426,201415281,18.53333333,2,48.65,10,10
427,201416010,8.549090909,2,192.67,59,10
428,201416011,9.27,36,99.65,17,10
429,201416012,9.354814815,19,165.27,36,15
430,201416014,10.75247423,1,42.13,14,20
431,201416017,10.60526316,19,7.45,1,20
432,201416018,9.926470588,4,77.09,34,20
433,201416019,7.874375,35,200.26,41,20
434,201416030,9.941935484,17,67.83,19,15
435,201416031,10.76421053,92,111.51,30,15
436,201416032,11.56126214,113,235.34,42,10
437,201416034,11.05652174,67,66.01,24,10
438,201416035,8.009677419,98,105.84,29,10
439,201416036,7.601547619,60,19.46,4,10
440,201416037,7.449775281,67,9.8,4,15
441,201416044,9.444444444,7,79.66,16,20
442,201416049,8.159677419,21,39.62,13,20
443,201416050,9.051724138,18,17.78,7,10
444,201416051,9.573846154,58,76.79,42,10
445,201416052,13.65684211,15,52.57,14,10
446,201416053,13.14055556,31,76.02,16,10
447,201416055,9.008695652,11,173.74,51,15
448,201416057,8.668292683,8,41.23,16,15
449,201416059,10.645625,1,140.35,53,10
450,201416060,11.76053191,97,24.78,6,10
451,201416061,10.791,89,167.04,55,10
452,201416062,12.75565217,25,123.27,37,10
453,201416063,9.123225806,66,76.23,24,10
454,201416065,9.654166667,11,145.95,44,10
455,201416067,13.23076923,5,26.39,11,10
456,201416068,14,3,121.17,26,10
457,201416069,10,33,296.02,61,10
458,201416071,9.922592593,5,193.69,49,10
459,201416076,8.518740157,122,79.49,23,10
460,201416077,7.638207547,86,126.75,54,10
461,201416078,7.623684211,1,65.47,13,10
462,201416111,9.325714286,7,14.98,4,10
463,201416112,12.94375,1,7.63,1,20
464,201416113,12.71956522,7,54.67,12,20
465,201416115,8.505797101,46,34.8,13,10
466,201416116,9.871206897,76,76.58,27,20
467,201416117,13.76857143,11,105.31,22,20
468,201416118,10.32086957,7,54.81,17,15
469,201416119,9.772674419,52,48.02,15,20
470,201416140,17.68571429,6,20.51,8,20
471,201416146,9.588888889,11,22.05,9,20
472,201416150,9.60452381,58,10.15,3,20
473,201416152,10.375,11,153.02,31,10
474,201416154,8.826315789,46,52.15,30,10
475,201416155,10.94736842,15,47.88,13,10
476,201416157,11.53529412,13,88.83,24,20
477,201416158,10.57727273,23,17.64,7,15
478,201416159,8.369090909,14,113.33,21,10
479,201416211,10.43578947,6,43.61,10,20
480,201416212,10.77806122,13,19.6,7,15
481,201417011,9.861111111,29,24.01,6,10
482,201417014,11.18372093,21,34.16,15,10
483,201417015,10.48945055,44,21.98,12,10
484,201417016,10.14285714,32,90.79,36,10
485,201417017,10.64583333,4,163.38,53,10
486,201417018,11.07181818,1,46.41,9,10
487,201417019,9.595625,77,12.39,10,10
488,201417020,9.353846154,26,8.96,6,10
489,201417022,8.922268041,119,63.07,37,20
490,201417024,8.312962963,2,14.98,6,20
491,201417026,9.932586207,9,31.57,5,20
492,201417028,12.5,12,5.53,2,20
493,201417029,11.14347826,2,45.85,9,20
494,201417030,14.14,18,15.19,4,20
495,201417031,7.932222222,9,5.74,2,20
496,201417032,11.39166667,8,1.82,1,20
497,201417033,9.952777778,48,109.55,45,20
498,201417035,10.28944444,47,79.17,19,20
499,201417036,12.2025,14,21.28,6,20
500,201417038,13.70714286,17,77.98,21,20
501,201417041,10.99583333,21,78.12,25,10
502,201417042,10.78375,5,125.93,32,10
503,201417044,17.96956522,7,157.22,25,10
504,201417045,12.72142857,91,41.16,20,20
505,201417046,14.95882353,5,81.9,15,10
506,201417050,11.44833333,23,193.76,58,15
507,201417051,8.311111111,41,136.99,30,15
508,201417052,9.756343284,25,188.79,55,15
509,201417053,15.09090909,1,51.87,7,15
510,201417054,7.783333333,27,283.36,41,15
511,201417055,6.309375,24,16.66,5,15
512,201417056,13.3,5,93.66,28,15
513,201417057,10.76538462,5,166.25,22,15
514,201417058,9.404761905,13,110.81,28,15
515,201417059,12.87578947,33,108.22,29,15
516,201417112,11.01711111,32,27.51,10,10
517,201417114,14.98465116,42,116.41,47,10
518,201417115,11.20619048,18,64.05,26,10
519,201417117,10.34847458,1,34.58,5,10
520,201417119,14.4825,5,42.7,9,10
521,201418012,7.8625,4,69.72,19,20
522,201418015,12.4875,2,45.22,12,20
523,201418023,9.1625,16,786.31,116,20
