姓名,赛季,球队,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
Kawhi Leonard,14--15,SAS,44.0,0.833,11.0,20.0,1.0,5.0,10.0,1.0,10.0,12.0,15.0,5.0,12.0,7.0,7.0,6.0,5.0,5.0,26.0
Kawhi Leonard,13--14,SAS,38.0,0.923,12.0,18.0,1.0,3.0,6.0,1.0,7.0,8.0,16.0,6.0,10.0,6.0,5.0,4.0,4.0,5.0,26.0
Kawhi Leonard,12--13,SAS,44.0,1.0,11.0,18.0,1.0,4.0,7.0,1.0,8.0,10.0,14.0,6.0,10.0,6.0,5.0,4.0,4.0,5.0,26.0
Kawhi Leonard,11--12,SAS,43.0,1.0,9.0,14.0,1.0,3.0,5.0,1.0,8.0,9.0,11.0,7.0,9.0,5.0,5.0,2.0,3.0,4.0,24.0
Gary Leonard,91--92,ATL,6.0,1.0,1.0,2.0,,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0
Gary Leonard,90--91,ATL,5.0,,0.0,0.0,,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
Gary Leonard,89--90,MIN,23.0,1.0,3.0,6.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,5.0,6.0
Voshon Lenard,05--06,TOT,35.0,0.625,8.0,18.0,1.0,4.0,7.0,1.0,5.0,5.0,10.0,2.0,8.0,8.0,3.0,2.0,6.0,4.0,21.0
Voshon Lenard,05--06,POR,33.0,0.625,6.0,12.0,0.5710000000000001,4.0,7.0,1.0,5.0,5.0,4.0,1.0,4.0,4.0,3.0,2.0,6.0,4.0,21.0
Voshon Lenard,05--06,DEN,35.0,0.5710000000000001,8.0,18.0,1.0,2.0,6.0,0.5,2.0,5.0,10.0,2.0,8.0,8.0,3.0,1.0,2.0,4.0,17.0
Voshon Lenard,04--05,DEN,24.0,0.455,5.0,11.0,0.5,2.0,6.0,0.667,3.0,5.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,14.0
Voshon Lenard,03--04,DEN,42.0,0.733,14.0,21.0,1.0,7.0,14.0,1.0,7.0,7.0,7.0,2.0,5.0,6.0,4.0,1.0,5.0,6.0,38.0
Voshon Lenard,02--03,TOR,45.0,0.667,10.0,20.0,1.0,4.0,10.0,1.0,9.0,9.0,10.0,5.0,7.0,6.0,5.0,5.0,5.0,6.0,30.0
Voshon Lenard,01--02,DEN,41.0,0.833,11.0,22.0,1.0,5.0,7.0,1.0,8.0,11.0,9.0,3.0,8.0,6.0,3.0,3.0,4.0,4.0,29.0
Voshon Lenard,00--01,DEN,43.0,0.615,9.0,21.0,0.8,6.0,12.0,1.0,9.0,10.0,12.0,4.0,8.0,7.0,3.0,2.0,4.0,6.0,30.0
Voshon Lenard,99--00,MIA,42.0,0.75,11.0,17.0,1.0,7.0,10.0,1.0,7.0,10.0,9.0,4.0,7.0,7.0,3.0,2.0,5.0,6.0,29.0
Voshon Lenard,98--99,MIA,36.0,1.0,6.0,15.0,1.0,4.0,9.0,1.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,14.0
Voshon Lenard,97--98,MIA,46.0,0.769,10.0,21.0,1.0,5.0,10.0,1.0,9.0,9.0,10.0,3.0,9.0,7.0,3.0,2.0,4.0,5.0,28.0
Voshon Lenard,96--97,MIA,45.0,1.0,13.0,20.0,1.0,8.0,13.0,1.0,6.0,7.0,9.0,2.0,8.0,8.0,3.0,2.0,4.0,6.0,38.0
Voshon Lenard,95--96,MIA,34.0,1.0,6.0,12.0,1.0,4.0,9.0,1.0,6.0,8.0,6.0,3.0,5.0,6.0,1.0,1.0,4.0,4.0,20.0
Tim Legler,99--00,GSW,37.0,0.75,5.0,11.0,0.75,3.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,5.0,14.0
Tim Legler,98--99,WAS,29.0,1.0,5.0,10.0,1.0,3.0,7.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,13.0
Tim Legler,97--98,WAS,19.0,0.2,1.0,5.0,0.0,0.0,3.0,0.75,3.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,5.0
Tim Legler,96--97,WSB,22.0,0.75,3.0,6.0,0.667,2.0,5.0,1.0,2.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,2.0,5.0,9.0
Tim Legler,95--96,WSB,36.0,1.0,7.0,11.0,1.0,5.0,8.0,1.0,6.0,6.0,5.0,2.0,5.0,7.0,3.0,2.0,3.0,5.0,21.0
Tim Legler,94--95,GSW,33.0,1.0,10.0,12.0,1.0,5.0,6.0,1.0,8.0,9.0,7.0,4.0,4.0,5.0,3.0,1.0,3.0,5.0,24.0
Tim Legler,93--94,DAL,34.0,1.0,9.0,15.0,1.0,4.0,6.0,1.0,6.0,8.0,6.0,2.0,5.0,6.0,4.0,2.0,4.0,5.0,25.0
Tim Legler,92--93,TOT,28.0,1.0,7.0,14.0,0.75,3.0,5.0,1.0,10.0,12.0,6.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,20.0
Tim Legler,92--93,DAL,28.0,0.778,7.0,14.0,0.75,3.0,5.0,1.0,10.0,12.0,6.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,20.0
